C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_49_966.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_49_966.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_49_966.jpg,0,0,0,3.569257E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_032.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_032.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_032.jpg,0,0,0,1.158389E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_132.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_132.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_132.jpg,0,0,0,1.989137E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_201.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_201.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_201.jpg,0,0,0,2.115173E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_300.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_300.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_300.jpg,0,0,0,1.04536E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_399.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_399.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_399.jpg,0,0,0,1.287831E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_503.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_503.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_503.jpg,0,0,0,9.748096E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_601.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_601.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_601.jpg,0,0,0,8.051432E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_672.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_672.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_672.jpg,0,0,0,6.463659E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_740.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_740.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_740.jpg,0,0,0,5.129482E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_806.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_806.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_806.jpg,0,0,0,1.839214E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_906.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_906.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_906.jpg,0,0,0,6.93526E-07
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_50_976.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_50_976.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_50_976.jpg,0,0,0,9.986666E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_51_042.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_51_042.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_51_042.jpg,0,0,0,1.337764E-05
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_51_141.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_51_141.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_51_141.jpg,0,0,0,2.209664E-06
C:\Users\jemso\Desktop\data\IMG\center_2020_12_19_13_52_51_208.jpg,C:\Users\jemso\Desktop\data\IMG\left_2020_12_19_13_52_51_208.jpg,C:\Users\jemso\Desktop\data\IMG\right_2020_12_19_13_52_51_208.jpg,0,0,0,3.702214E-06
